Restaurant Name,Rating,Cuisine,Location,Reviews
Schmidt and Sons,1.5076010604383017,Indian,Thomasbury,57
Taylor-Hall,2.699562270580313,Italian,Lake Christinafurt,848
Morales and Sons,2.7587049454270858,Mexican,East Shawna,536
Ball-Petersen,2.3088987949372735,Mexican,New Joehaven,482
Ryan-Hall,3.284969688559497,Chinese,Lake Kimberly,260
Holmes-Wilson,2.875534594831787,Chinese,West Johnton,375
Phillips LLC,3.9830078272493092,American,New Davidhaven,268
"Arnold, Sanders and Stevens",1.1592344557592913,Chinese,Lake Brittanyhaven,721
Lamb-Smith,3.445974200073179,Mexican,Dorisstad,246
"Parrish, Dean and Spencer",4.13298837988753,Italian,Meganville,23
"Foster, Wilson and Hatfield",4.46166490675402,Italian,Nicholeview,373
Douglas and Sons,2.5955235674402775,Mexican,Hunterland,402
Riley Group,2.431921896858541,Indian,West Kristina,437
Edwards LLC,3.4501672372352314,Mexican,Robertside,83
Gray and Sons,3.474721212297132,Mexican,Jasmineburgh,153
Thompson-Brown,4.269393910574422,Chinese,Mariemouth,580
"Davis, Sanchez and Delacruz",4.115195108354098,American,North Michaelshire,730
"Schneider, Williamson and Warren",3.496172861949725,Chinese,West Jasonborough,622
Horton Ltd,1.5701220020687683,Indian,New Charles,686
Summers-Williams,4.628737275530389,Mexican,North Justin,243
Harris Group,1.5738100210674655,Chinese,Monicaville,140
"Jenkins, Williams and Gomez",4.950795712182687,Indian,Evansberg,465
"Hines, Bradley and Edwards",1.4958565752314215,Mexican,Colonbury,961
Glover and Sons,1.4604226418226647,Italian,Parkertown,38
Holloway-Howard,2.9431234967244966,Indian,Lake Sophia,672
"Pearson, Stone and Jenkins",2.85200597570962,Mexican,Port Davidview,470
Bell Inc,1.4585729817893465,Chinese,Morganfort,951
Porter Inc,2.3626579168768886,Mexican,Hernandeztown,376
"Gilmore, Edwards and Hicks",4.721863862988984,Chinese,Kaneview,16
Hodges-Hughes,3.5752624334520138,Chinese,Shahmouth,63
Bailey-Hughes,3.691216908998619,Mexican,West Michael,56
"West, Shaw and Sims",3.8061506632545576,Mexican,West Mark,468
Bradley-Walls,2.514989536069872,Indian,Griffinfurt,826
Duncan and Sons,2.6159609958736723,American,Meyermouth,911
Garcia-Davis,2.9902535936821812,Indian,Jonesberg,449
Watkins Ltd,1.7981711585430218,Indian,North Rachel,808
Wiggins-Doyle,1.9673583206343217,Italian,New Todd,713
Meadows-Wang,4.4380450711213175,Chinese,New Markmouth,414
Blackwell Ltd,3.345348152177366,Indian,Stephanieview,733
Alexander LLC,2.6772232955262854,Italian,Stephanietown,117
Brady-Miller,3.966370049339912,Chinese,Claudiaton,183
"Johnson, Campbell and Mooney",1.6702097504158857,Italian,Lake Vincentchester,895
"Keith, Williams and Rojas",2.849885988732567,Indian,Greenland,983
Russell-Wolf,3.3669523677623494,Indian,North James,85
"Bell, Sanchez and Dominguez",4.806341930450837,Mexican,Youngborough,340
Young Inc,2.546088164341901,Italian,Williamsland,851
Leonard-Arnold,1.4493197045401756,Italian,Tylerfort,906
"Webster, Nichols and Smith",2.1655326893912417,Italian,Port Ashleymouth,772
Johnson-Raymond,3.411009706183861,American,North Sandra,995
"Wolf, Wood and Bradley",2.759910037888486,Chinese,South Alexandra,194
Ritter PLC,3.417664994428699,Italian,East Ryanhaven,199
Morales-Mcbride,4.837477369668219,Chinese,East Katrina,740
Park PLC,2.363643335807193,Italian,Feliciafort,832
Cooke and Sons,4.2211745398689695,Mexican,Kingchester,583
Macdonald PLC,4.039852190680687,Indian,South Michaelbury,53
Singh and Sons,2.4863126338470654,Mexican,Charlesview,635
Keller-Wade,3.249079127554862,Indian,Lake Tabithaburgh,255
Miller-Bell,4.308500234823985,American,Barbarahaven,968
"Harris, Green and Camacho",1.1644168224231652,Mexican,Nicholasburgh,836
Williams-Herring,1.1350125528813204,American,Russellside,368
Perry LLC,1.8255960437346497,Mexican,South Abigail,155
Herrera Ltd,3.143901253537748,Indian,East Christy,519
"Graham, Cardenas and Ramirez",3.0745468288349205,American,Lake Isaac,422
Gross-Torres,1.8661960247323868,Indian,Port Regina,876
Acevedo Inc,1.242343481057003,Mexican,Sanchezchester,511
Kim-Yates,2.2034528606907546,American,Lake Christine,553
"Patel, Gilmore and Vaughn",3.7466861375074183,Chinese,Joshuahaven,100
Miller-Caldwell,2.3487938681498393,Chinese,Lisatown,207
Smith-Hogan,1.9256721265021852,Italian,Michaelfurt,490
"Torres, Lloyd and Black",1.0935963955312724,American,South Christopher,13
Miles-Scott,2.601554350789986,Indian,Johnsonburgh,275
Pennington and Sons,2.8922288689240037,Mexican,Thompsonport,579
"Gordon, Gibson and Ortiz",2.113510872912018,American,Susanport,765
"Potter, Mccarthy and Weaver",2.747012167703765,Mexican,Graymouth,112
"Jackson, Jenkins and Payne",4.162674096621651,Italian,Meyerhaven,937
"Becker, Rice and Smith",2.0734964660630393,Indian,Hansonfurt,453
Carrillo-Freeman,3.4703322389310816,American,New Christine,384
"James, Martin and Sullivan",3.6650313230231744,Chinese,New Patrickfurt,567
"Morales, Brooks and Johnson",2.992540643553678,American,Chadmouth,634
Carrillo LLC,1.917012718902114,Mexican,West Davidstad,286
"Smith, Thompson and Mccarty",1.1813816979153695,Italian,West Cynthiaville,859
Holmes Ltd,2.2082412220821817,Italian,Gonzalezmouth,834
"Frost, Wright and Hall",1.8577562733060664,Mexican,Lake Marcus,104
"Allen, Suarez and Jordan",4.261578625966759,Indian,Chadton,506
Bernard-Bernard,2.7810357274459183,American,Lisaville,372
"Brooks, Wagner and Hernandez",4.486571248464589,Chinese,New Gregoryshire,819
"Jackson, Farley and Middleton",3.3367935106426034,American,Michaelburgh,537
Gilbert-Taylor,2.717309063349868,Italian,Lake Natalie,223
Armstrong-Wyatt,1.8131940066730667,Indian,Kristiville,398
Medina-Reed,3.4294951329082988,Mexican,New Joseph,429
Jones-Hays,2.160513172103734,Mexican,South Kimberlyhaven,50
Rosales-Miller,2.7461965489955174,Mexican,East Loriton,674
"Evans, Williams and Kelly",2.95973594183977,Italian,Reesemouth,542
Johnson LLC,3.489888622768857,Chinese,Parsonsburgh,666
Nelson and Sons,2.674601396215652,Indian,Lake Seanstad,438
"Miller, Wilson and Owens",2.412972473857096,Indian,West Debbie,564
Jackson Inc,3.994227064942582,Italian,New Richard,474
Bernard LLC,3.2251152097703395,Chinese,Lake Kathrynburgh,829
Wood-Velazquez,4.850639780880517,Mexican,Baxtermouth,87
Savage Inc,4.4934244137406925,Chinese,Port Davidton,360
Sanchez LLC,3.079084841470066,Italian,Port Lisa,251
Garcia-Evans,3.823760659286914,Italian,Cindyburgh,19
"Glenn, Smith and Campbell",4.7482545496885855,Chinese,West Jonathan,873
Valenzuela Ltd,2.7863272498680307,Italian,West Jason,705
Lowery LLC,1.2652130340522647,Italian,Lake Joy,803
Delgado-Shelton,3.9825619413574533,Chinese,Michaelfurt,138
Fox Ltd,3.1681793854254043,American,Emilytown,996
Gould-Perez,4.999296482349826,Indian,Amyberg,190
Miles Group,2.9504836638584067,Indian,East Gabriella,413
"Ellis, Hill and Thomas",1.423291632166701,Indian,Hoffmanfort,830
"Robinson, Thompson and Vargas",3.8616459105866725,Indian,Nancyfort,924
Huffman LLC,1.338326289529281,Indian,Port Michaelmouth,301
Burnett PLC,3.5880856356081923,Indian,Ericton,871
Smith-Wood,2.020272869801059,American,West Wayne,627
Myers-Owens,2.281855935560645,Mexican,New Matthewfort,396
Collins PLC,4.429938286011861,Chinese,Timothyfort,329
Perry and Sons,4.685157950899351,Mexican,New Courtney,643
"Maddox, Strickland and Jackson",2.0535899640094173,Chinese,Port Breannabury,614
Meadows and Sons,1.0622274790102857,Chinese,Lake William,824
Stevenson Inc,2.4372540402069904,Indian,South Glen,495
Moon-Smith,1.9110274730621262,Mexican,Calebstad,270
"Howard, Klein and Livingston",1.1769378297897952,Chinese,Lake Tammyberg,494
"Hartman, Oliver and Davis",1.0624381343899998,Italian,Lake Randallburgh,439
Fisher-Benjamin,4.164161510605378,Chinese,Armstrongchester,861
Bryan-Mendoza,3.273616129367104,Italian,South Teresaborough,279
"Young, Walker and Lewis",4.3269199365202144,Indian,Mannside,797
Castillo Group,3.372209540422891,Indian,New Melinda,994
Suarez and Sons,1.1792981313039514,American,New Craig,89
Leonard-Evans,2.545709893916812,American,East Diana,756
"Diaz, Johnson and Flores",3.2935786883942355,American,North Angela,265
Chen Group,3.9793741517495755,American,Lake Caroltown,62
Taylor and Sons,4.398035753623976,Italian,Eileenburgh,693
Lewis-Salazar,4.168467715526754,Mexican,New Scottmouth,771
"Hernandez, Gregory and Stein",4.990013123710376,Mexican,Williamsbury,121
Barrera Ltd,3.411466241470144,American,Hollyland,330
Clark PLC,4.350311760628255,Italian,New Donald,657
"Harrison, Perez and Higgins",2.212179362585532,Italian,West Jenniferstad,527
"Hurst, Peters and Golden",4.127657212233541,Indian,East Matthew,432
Sanchez Ltd,3.5102938576587848,American,East Anthonychester,480
Mendez-Nelson,2.177131145094805,Italian,Lake Raymondstad,46
Matthews-Cantu,4.6568261208435455,Italian,Lake Johnport,92
"Olsen, Rodriguez and Doyle",1.7036089748276977,American,Lake Kristopher,826
Armstrong-Salazar,3.8309764208807384,Italian,Frankland,677
Spencer-Wu,2.089472488010604,Italian,Everettfort,891
Noble Group,2.1545728164411075,Mexican,Toddland,244
"Mendez, Davis and Valenzuela",3.8091827523408153,Mexican,South Wendy,291
Garcia Ltd,4.357465208343523,Indian,Maryview,309
Huffman and Sons,2.1388586481741387,Mexican,West Chelseaville,952
Jimenez-Henry,1.4344540081145003,Indian,Gonzalesport,992
Escobar-Brown,3.1898100917872756,Chinese,West Leslie,905
Thompson LLC,1.8857846787581853,Indian,Port Christopherport,507
"Vargas, King and Jones",1.7992096135245652,Italian,Thomasmouth,388
Willis LLC,1.8480904557352495,Indian,Lake Breannashire,47
"Spears, Stephenson and Mclean",3.505737039067104,Indian,Shortview,677
Jackson LLC,1.4471033541953187,Chinese,West Christopher,503
"Miller, Little and Mitchell",2.596370391492645,Mexican,Sullivanton,156
Brown and Sons,1.0893290613047766,Italian,Nicolehaven,748
Rojas LLC,4.954876054312328,Indian,Grimesborough,457
Parker Ltd,2.695807136613922,Italian,Frankville,32
"Smith, Bennett and Lowe",4.220854027653703,American,Jenniferport,642
"Ramirez, Lee and Johnson",3.602356890039725,Indian,Kathleentown,505
Sutton-Mcfarland,4.376536901348596,Mexican,Amyland,57
"Gibbs, Jones and Gray",2.591465488618934,Chinese,South Russell,470
Li and Sons,2.848117233450235,Indian,Cameronland,964
Perkins-Jones,4.252914865280397,Chinese,Port Stephen,221
Costa-Edwards,2.5127984584581844,Italian,Port Peter,157
"Ponce, Rodriguez and Jennings",2.083617309037126,Italian,Justinton,323
Berg-Rangel,3.1940171755450413,Chinese,Martinezview,538
Guzman-Jones,4.010381594639858,Italian,Harringtonhaven,997
Miller Inc,1.1605472568873054,Mexican,East Juliafort,503
"Russell, Davis and Macdonald",4.629493184920673,Mexican,North Michaelburgh,975
Esparza and Sons,1.4070717118947682,Mexican,West Erichaven,45
Davis-Guerrero,4.471806086639576,Indian,New Jonathonside,956
Miller and Sons,4.458421245180604,Chinese,Robinberg,813
Price PLC,3.474831357605748,Indian,Taraborough,741
Turner and Sons,4.347656774847381,Chinese,Mayerborough,813
Barnes and Sons,1.8246081375801393,American,Lake Nicholeville,426
Wright-Jones,2.418841260432406,Italian,New Eugene,770
"Mcdonald, Lopez and Hicks",2.088950393930851,Indian,South Miguel,215
Smith-Weeks,4.694681490604383,Chinese,Smithchester,628
"Salinas, Walters and Foster",2.6673609682619226,Indian,Bobville,371
Kim Group,3.544068019266584,Indian,Palmerfort,897
Johnson and Sons,1.9817639658845962,Mexican,South Kaylaland,643
Johnson-Conner,2.8489654183281305,Chinese,Leonardmouth,27
"Warner, Johnson and Jones",4.155958470004759,Italian,New Tim,266
"Ramos, Hunt and Morrow",3.8866176625782822,Chinese,Holmesport,720
Robles LLC,1.7369255675951552,Indian,Ariasview,529
Lopez Ltd,3.1599502652185394,Italian,Lake Michaeltown,373
Jacobs-Smith,4.620127085883629,Mexican,New Marymouth,592
Goodwin-Brown,3.5609126589685753,Mexican,New Alyssaburgh,274
"Strickland, Ortiz and Mckay",4.73162725810424,Mexican,Amymouth,212
Mccann-Gonzalez,2.642664691710855,Indian,Port Valeriefurt,601
"Mccarty, Thomas and Mueller",1.5037705489971795,Indian,Morrisfurt,613
Stewart Inc,1.851013956430104,Italian,Monicafort,839
"Robinson, Peterson and Smith",1.534950708235359,Mexican,Williamsmouth,810
Coleman LLC,3.6632904509925455,Italian,Port Bridgetton,823
"Rodriguez, Evans and Hart",3.159540265334445,Mexican,Port Jasmine,705
"Booth, Gibson and Barnes",3.1774109956193675,American,Kevinview,184
Padilla-Howard,3.925150563233146,Italian,Gibsonchester,652
Martin Ltd,4.614617971726789,Mexican,Liuside,814
"Delgado, Green and Webster",1.7202825848633818,Italian,Port Juan,72
Garcia-Smith,2.3445248762816915,Indian,Carrfort,279
Walsh Ltd,1.1604835973905696,Italian,North Patrickburgh,61
"Bennett, Garrett and Anderson",4.879164811745633,Italian,Lake Derrick,65
"White, White and Tucker",1.7601524907019508,American,New Shannon,573
Wade PLC,2.2143521318363946,Chinese,North Jenniferhaven,772
Cox-Morales,2.6158227214876564,Indian,Clarkside,338
"Gomez, Brown and Cruz",3.6976484157393874,American,North Janetborough,594
"Nguyen, Green and Edwards",2.273050509207793,Indian,East John,670
Hanson Inc,4.883688921908308,Italian,South Jennifer,257
Bauer-Villanueva,4.586088238684718,Chinese,Ericland,204
Lester and Sons,3.768512236786744,Mexican,Joshuashire,105
Woods-Valencia,1.579457958990901,Chinese,North Jenniferborough,494
Baird-Hall,1.6617746981506065,Indian,North Angelastad,799
Leonard-Ibarra,4.897032448927625,Chinese,West Devinmouth,575
Hall-Duffy,4.153055765410927,Chinese,South Tiffany,618
"Henderson, Richardson and Tucker",4.766257746050902,Indian,East Jorgeberg,455
"Harris, Kennedy and Vargas",2.9953416308933325,Chinese,Lake Emilyshire,903
"Delgado, Barker and Campbell",2.332385592855391,Mexican,Davidfort,755
"Gay, Carter and Morales",2.643133424800417,Italian,Christophermouth,973
Williams-Simpson,2.200156726927321,American,Vegashire,568
Jenkins-Reed,1.9281466098476412,Chinese,West Annamouth,178
Stevens-Wheeler,3.3054118077979155,Mexican,South Hannahbury,577
"Riddle, Petersen and Bender",4.166091164571599,Chinese,East Jesseshire,285
"Lee, Graham and Ortega",3.1024493775902715,Indian,West Stacy,105
"Clark, Hernandez and Carlson",4.303481612173178,Indian,South Amyport,954
Reyes Inc,4.9722232211616095,Mexican,Lewisstad,110
"Mosley, Nichols and Hawkins",4.502867090228708,Chinese,Matthewshire,596
Anderson-Lewis,1.1359211471692126,Indian,Smithfurt,127
"Blake, Weiss and Cooper",3.374829164777015,Italian,East Katherineville,532
"Lawrence, Hayes and Beck",1.8243025246520146,Mexican,Alisonton,439
"Brown, Reynolds and Martinez",4.395341252658603,Chinese,East Claire,854
"Norris, Neal and Mckinney",2.9752913398315184,Indian,South Eddie,952
Anderson-Taylor,3.3309120314868474,Italian,New Benjaminview,500
"Miller, Martin and Cooper",1.3036933928181433,Italian,Antoniostad,515
Parks-Brooks,1.2912376752025665,American,Mcclainburgh,344
Dunn-Leon,2.1310779463997447,American,West Brandonfort,188
Mendoza-Miller,1.9235515449179958,Chinese,Michaelchester,83
Newman-Massey,2.744298271469903,Indian,South Kristin,193
"Lowe, Walker and Townsend",1.812018062315023,American,Stewarthaven,270
"Parsons, Steele and Todd",2.9907419900209993,American,Danatown,96
Thomas Ltd,2.431489415834043,Italian,Gregoryshire,72
"Mcknight, Diaz and Tate",1.5597267516099143,Mexican,East Johnview,948
"Jones, Mueller and Roberts",1.929567236929664,Chinese,West Kimberlychester,699
"Miller, Sellers and Murphy",4.223030179058071,Indian,South Nathaniel,524
Kane-Steele,1.9282550856327516,Mexican,Antonioburgh,518
Burke and Sons,1.7663123981339912,American,Port Michaelchester,115
"Cruz, Stevens and Lopez",4.275372647970766,American,East Jessica,991
"Wright, Walker and Webb",4.855936835285812,Chinese,Fowlerton,448
Ward-Mitchell,4.359121038144844,American,East Jamesview,53
Anderson-Ramos,4.351635106107157,Italian,East Christopherfort,162
"Hernandez, Norton and Williams",4.376442159364384,Mexican,Smallberg,342
Ellis-Garcia,4.778296977238327,Chinese,Brandyfort,581
"Clarke, Smith and Flores",1.4253294123807776,Mexican,Port Shannon,490
"Gonzalez, Lee and Hill",2.8604685710936364,Chinese,North Charleston,248
Lane Group,3.9972389657353338,American,South Sarahburgh,628
Moreno-Ward,4.725888248537241,Indian,Angelbury,339
Howard and Sons,2.61699414312079,Mexican,Davisport,749
Patel Inc,3.9909192875115376,Indian,Ianborough,193
Wilson PLC,1.5655957125806008,Mexican,West Brittneyborough,515
Hughes Ltd,1.1746680470330144,Chinese,West Jennifer,649
"Johnson, Neal and Smith",3.3634560848604482,Mexican,Markstad,981
Blankenship-Turner,4.900553749828108,Indian,Fishertown,320
Hooper Inc,3.9061892686624433,Chinese,East John,902
Williams Group,3.057406075935277,Chinese,Williamsborough,761
Barrett-Evans,3.199396190727012,American,Rosalesbury,295
Harris-Garcia,3.224873795814248,American,North Jennifer,211
"Murphy, Cowan and Hudson",4.312244295094258,Italian,Floresville,874
"Gomez, Clark and Kelly",4.05370447588001,Chinese,Marymouth,702
Robbins-Johnson,2.721245816458478,Indian,Kellybury,395
"Wallace, Sims and Paul",1.1903767889511352,Indian,East Stephen,379
Thompson-Blankenship,1.6173239960611814,Chinese,Ruizchester,701
"Cox, Walker and Robinson",1.5805867334999872,Chinese,South Michaelborough,768
"Ryan, Oliver and Smith",1.9017594676061496,Indian,Janetport,357
Scott-Ferguson,4.80215392887839,American,Lake Juanside,729
Adams-Campbell,1.5151351726275752,Indian,North Melanieport,356
Alvarez PLC,3.237975313695823,Mexican,New Danielville,705
Anderson PLC,2.374278903635272,American,Farmerburgh,540
"Lawson, Snyder and Henderson",1.6200841605702667,American,Carlsonburgh,410
Wilson-Evans,2.929211574025969,Chinese,Gabrielstad,384
Butler-Benitez,1.7871605792986434,Mexican,Port Aimeeview,687
"Sanchez, Robertson and Todd",3.2249829629403557,Italian,Collinsland,925
Todd-Carroll,4.370664952684205,Indian,Stevenview,969
Stone-Jackson,3.054333139321256,Mexican,South Nathanborough,986
"Parsons, Patel and Tucker",2.3790850071107066,Mexican,Lake Becky,610
Wright-Shields,4.4793304121397455,Indian,Allenshire,573
"Snyder, Butler and Sanchez",3.6113064816471794,American,Lewisshire,732
Diaz-Jensen,4.374686186121073,American,Josephton,614
Morales Inc,1.265381408136789,Indian,Elizabethville,123
Mcdonald-Wright,2.619383854071079,Chinese,Jonesfurt,54
Tate-Franklin,2.065696928508173,Chinese,Kevinview,895
Bond LLC,1.0722438622593904,Mexican,Merrittton,703
Mooney-Schroeder,3.117687397530384,Chinese,Port Danielle,287
Ortiz PLC,4.573663597989662,Indian,Gavinside,159
Chapman and Sons,1.435064789227844,Indian,Port Kendra,909
Garcia and Sons,3.484773704184371,Chinese,Port Danielleville,831
"Lewis, Heath and Shaw",3.406876162187712,Indian,New Adrian,403
Fletcher-Brown,4.975494454189466,Italian,Olivertown,469
Blevins-David,4.963725162471933,Mexican,North Allenfort,567
"Lindsey, Ashley and Woods",2.1931740676086053,American,Joshuastad,318
Mason-Miller,1.8782007626840511,Mexican,Knightview,337
"Newton, Rodriguez and Armstrong",1.2390110142692903,Mexican,Christopherside,661
Campos Ltd,2.7548486420284504,Italian,Vegaville,735
"Pierce, King and Moyer",3.7336980139575497,American,Lake Tylerview,352
Mcintosh Group,3.8731931675747733,Italian,Lake Kristin,585
"Huff, Hill and Hayes",2.0207618518938983,Mexican,Williamburgh,426
Porter Inc,4.337305957245162,Italian,Bernardview,659
Alvarez and Sons,4.3251587666939,Indian,East Garyhaven,69
Burch LLC,3.5739745171975437,Italian,New Jordan,158
Pham Inc,3.298746836164072,Mexican,West Christopher,262
Martin Ltd,2.3376628733484606,Italian,Nicholasmouth,879
Suarez PLC,1.3864902418614928,Chinese,South Rachelmouth,193
Mitchell-Willis,2.820898155900341,American,Johnsontown,785
"Bell, Vasquez and Garcia",1.8360904639814728,Italian,Adamsview,648
Wade-Newman,2.1321752830823772,Mexican,North Kristen,545
Maddox-Miller,1.6799711175042362,American,West Bradleyview,723
"Edwards, Williams and Walker",1.713628838168383,Chinese,Johnton,905
Russell LLC,1.8696526456520544,Mexican,East Adam,721
Liu LLC,3.968327148393589,Italian,West Katie,713
"Rodriguez, Pham and Good",4.94768343468263,Italian,Port Sarahview,410
Stanley-Walker,1.5049381101218735,American,Lake Michelleside,162
Serrano LLC,2.864633048696701,American,Carlsonport,819
"Barnes, Richardson and Fisher",1.0764362848070133,Italian,South Angela,31
Jackson PLC,3.901112217057011,Italian,Lake Staceyburgh,453
Hodges-Jackson,2.0369344552486024,Italian,Port Johnport,793
Larson Ltd,1.5347470979883573,Chinese,Laurafort,177
Howell-Phillips,2.8234094772837413,Indian,Port Alicialand,921
Ray-Lee,3.6716591416420905,Chinese,West Kathryn,64
Harris-Jones,2.143456206027376,Italian,Johnsonchester,272
Daniel Inc,1.456789984051913,Chinese,South Adam,550
Lee-Guerrero,2.231756448258152,American,Kevinmouth,647
Palmer LLC,2.655220231906846,American,South Jessica,739
Brown LLC,4.534096905687836,Italian,Port Peterville,327
Taylor-Calderon,4.281372360340325,Italian,Allisonhaven,805
"Watson, Jones and Schwartz",3.6749855128308884,American,Ericaville,68
"Long, Holloway and Daniels",2.31899832898687,Mexican,Faulknertown,69
"Simon, Austin and Jones",2.0790779949009095,Italian,Lake Lisa,825
"Davis, Smith and Clayton",3.880540498652344,Italian,Sheilamouth,989
Woodard Inc,4.366466002207658,Indian,Millerfort,313
"Parsons, Jacobs and Nguyen",3.157200519430895,American,Port Jessicaton,480
"Burns, Miller and Young",4.8725879479438,Italian,West Michaelberg,51
Nichols-Hernandez,4.636188219599678,Italian,Brooksville,703
"Davis, Jimenez and Garner",1.6744882552590088,American,Melissahaven,632
Clark-Bennett,4.525841121931361,Chinese,West Bonnieland,208
Kane-Quinn,4.271418202120643,Mexican,Anthonyfurt,873
Harris-Allison,4.643105292861788,Chinese,North Michael,287
Richmond Inc,1.803140689673445,Chinese,Reillyport,625
Jones Group,3.474326101049876,American,Shannonville,366
Sanchez Inc,4.026073442484909,American,New Rebeccaton,445
"Hunt, White and Yang",3.2590668829694036,American,Davidview,459
"Torres, Wright and Sanchez",4.937658999208675,American,Michaelchester,91
"Ruiz, Holland and Green",4.555408399417193,Italian,East Alison,200
Cunningham PLC,3.4581041427886867,Mexican,Dannyshire,871
English Group,3.83178908749113,Mexican,Davidchester,945
Myers-Terry,4.7962267356553205,Mexican,South Angela,642
Wagner PLC,3.9020437226173486,Chinese,East Christopher,447
Johnson-Thomas,2.8100355012411096,American,Brandonchester,751
Hines-Calhoun,4.923336501571221,Indian,North Sandraside,605
Rodriguez Group,1.4574187501695346,Chinese,New Michael,494
"Sherman, Smith and Hodges",3.4490640808654436,Mexican,Lake Markchester,984
Williams-Collins,2.817979420195227,Chinese,Elizabethburgh,121
Shannon Group,2.6760760550626372,Indian,Lake Willieton,813
Jackson Inc,2.1943678816027705,Indian,Patrickport,452
Chung and Sons,2.20598451923612,Italian,Graceton,467
Sims-Ramos,1.511232378200254,American,Ericamouth,408
Gonzalez-Mills,3.7019112304663397,American,Kellermouth,361
Gordon and Sons,1.6995155489432392,Mexican,Frederickfurt,783
"Lopez, Jones and Jackson",2.0813675820885287,Mexican,Velasquezhaven,188
Park LLC,3.537014299276866,Indian,Brookschester,866
Atkins Ltd,4.077866399006863,Italian,South Gracechester,670
Waters PLC,3.673479953044028,Chinese,Johnsonville,177
Pruitt PLC,2.118960018176894,Chinese,East Joshua,478
Taylor Inc,2.4179227844033595,Italian,Stanleyview,270
Padilla Ltd,4.827659609057173,Chinese,Chelseamouth,593
Krueger Inc,2.0075491423671057,Chinese,Jamestown,71
Willis-Ortega,2.244259778956522,Mexican,Torresview,807
Anderson-Hernandez,3.247987254441954,American,Kimborough,667
Long-Orr,1.047598120598288,Italian,North Lisafurt,825
Hall-Rogers,1.499025450677793,Indian,East Jacobshire,796
"Perez, Gonzalez and Shea",4.000318252514223,Mexican,Rachelfort,213
Garrett-Gray,3.1276735657514765,American,Port Mark,430
"Reyes, Wyatt and Gilmore",1.832578138447364,Mexican,West Jasonmouth,746
"Brooks, Cook and Curry",3.232493330633521,Mexican,East Travis,887
Allen-West,2.7097807905664846,Indian,Port Sheena,609
Ewing and Sons,1.8055782626158128,American,Weekston,297
Richardson-Crawford,2.9530788948953735,Indian,Emilyville,263
Hoover-Martinez,2.252308732085286,Indian,Wisefort,140
"Brown, Jackson and Norton",1.4172419937299776,Chinese,Michaelburgh,61
"Greene, Meyer and Camacho",4.694845047756903,Chinese,Port Johnview,529
Davis LLC,4.3430667331279,Indian,Port Robinland,692
"Gonzalez, Jones and Trujillo",1.1154783451992492,Indian,Lopezport,377
Koch Group,4.29399810159223,Mexican,Reyeshaven,344
Williams PLC,1.0311574979053502,Indian,North Jessicamouth,878
Allen-Lee,2.2483584095974516,American,East Stephanie,132
"Bird, Barnett and Roberson",2.1869680110668406,Chinese,Lake Karenside,412
"Lindsey, Forbes and Hoffman",2.1243880098684937,American,West Antonio,643
